N,P,K,temperature,humidity,pH,crop,Crop_N_kg_per_ha,Crop_P2O5_kg_per_ha,Crop_K2O_kg_per_ha,N_dosage_kg_per_ha,P2O5_dosage_kg_per_ha,K2O_dosage_kg_per_ha,Dosage_Notes,dosage
73,48.19,36,30.706,53.14,6.089,jute,53.893,72.833,64.935,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
68.07557034357212,39.08121986926875,67.99412778284099,32.81320470534625,64.24056877031693,6.656013719829748,cotton,114.72289171280867,57.19506269014102,58.98867838171545,143.06549006004383,85.18677534736483,126.98584045837192,Standard Application,"N: 143.07 kg/ha, P2O5: 85.19 kg/ha, K2O: 126.99 kg/ha. Notes: Standard Application"
41.85192050832042,35.33441831025532,77.49351126483454,25.090595607942745,55.05254682358869,6.044132101072434,urad,7.551570029603621,29.57425408369692,21.47639275120024,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
103.26005710011052,68.51990465824385,73.02167365841049,25.94269678553773,73.94792873220022,6.658775697791981,kidneybeans,119.59779616081578,61.25734421552529,51.16969353,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
121,35.871,198,18.178,47.599,5.685,wheat,76.737,60.719,44.616,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
140,40,176,28.76,60.41,4.7,spinach,120,60,60,140,60,60,Side-dressing (Heavy feeder),"N: 140.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Heavy feeder)"
130,9,95,31.333,82.308,6.98,kidneybeans,123.165,70.136,71.324,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
68,69,52,25.65492304,92.74501561,6.813383387,papaya,100,60,60,250,150,300,Standard Application,"N: 250.00 kg/ha, P2O5: 250.00 kg/ha, K2O: 500.00 kg/ha. Notes: Standard Application"
4.262745041360132,132.8479068216193,202.7764800675378,22.37663029394803,93.84048175529746,5.655749872089342,apple,120.78561823222344,59.58683365600527,59.70991068451989,146.7596460086244,67.53299972552462,170.1985099,Standard Application,"N: 146.76 kg/ha, P2O5: 67.53 kg/ha, K2O: 170.20 kg/ha. Notes: Standard Application"
91.45234525,28.56611019958603,65.87771020507195,22.663335055262507,55.85544653680156,6.938752517995624,chickpea,163.5987938352841,57.37240942967714,61.447291811630734,20,62.76637408637319,21.793278977699725,Standard Application,"N: 17.24 kg/ha, P2O5: 62.77 kg/ha, K2O: 21.79 kg/ha. Notes: Standard Application"
110.0167713666523,53.25634002873917,75.98784775155805,33.982408769922884,72.74922885224485,6.0550965978216125,banana,104.4904822469694,55.14284859832088,30.754215594053065,300,145.07857459887603,300,Standard Application,"N: 386.54 kg/ha, P2O5: 145.08 kg/ha, K2O: 595.04 kg/ha. Notes: Standard Application"
11.062962220852556,53.50565011107841,0,34.16758272904873,48.23791811335182,6.097019809635447,mango,119.8155961935342,57.45546689640167,67.32671347666202,205.1141270881409,149.40341133529446,300,Standard Application,"N: 205.11 kg/ha, P2O5: 149.40 kg/ha, K2O: 306.80 kg/ha. Notes: Standard Application"
123,49.196,1,25.686,67.402,6.526,mango,68.611,61.28,43.156,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
25,50,30,25,60.41,7,groundnut,30,60,40,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
62.964696443108366,26.59216621344776,131.67603345938906,37.57424806,64.54304644342787,6.487826210493114,ginger,90.38150993910526,57.820707290626615,63.46287587395478,89.36570648092996,70.49559391528537,10,Standard Application,"N: 89.37 kg/ha, P2O5: 70.50 kg/ha, K2O: 7.24 kg/ha. Notes: Standard Application"
113,81.823,95,26.713,76.788,6.99,lettuce,160.466,69.525,49.594,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
5,59,15,18.87492997,20.18238348,5.97229163,kidneybeans,25,40,25,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
36,58,25,28.66024187,59.3189118,8.399135958,mothbeans,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
13.485382763906156,21.599443733878065,7.973694731919643,26.34145785646854,93.87164850535572,5.251096502312409,coconut,123.66602357438448,56.30611652884602,65.66467842112999,300,150,300,Standard Application,"N: 526.48 kg/ha, P2O5: 308.26 kg/ha, K2O: 1240.91 kg/ha. Notes: Standard Application"
105.27542864186212,79.41582821659956,69.69566320820918,27.70258106827748,75.00959688710563,6.206798249686466,banana,124.08181607645176,58.54393674728659,57.60166424097825,300,130.78986927362345,300,Standard Application,"N: 364.68 kg/ha, P2O5: 130.79 kg/ha, K2O: 646.58 kg/ha. Notes: Standard Application"
18.64709846599768,68.95453468,12.613205463024851,22.63474148999149,23.903959813658712,5.948892508127695,kidneybeans,20.473686914558925,40.49360390082932,22.60503422746537,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
84,37.909,109,18.178,66.17,7.141,wheat,127.391,44.912,75.384,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
114.8200099222142,25.66823160436908,60.372187766873175,27.794882499514912,94.03012941102295,6.007261354730271,muskmelon,88.95643659803319,59.97027867293249,63.78454970180368,71.39430520767195,31.92710711282828,10,Standard Application,"N: 71.39 kg/ha, P2O5: 31.93 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
33.38157916215307,30.98689814,43.51960809524274,30.13778481,61.73512061526481,6.513079286843249,turmeric,121.84804465303132,60.28715668,60.01507929961555,146.64828587546916,61.02723387520719,99.47626312817265,Standard Application,"N: 146.65 kg/ha, P2O5: 61.03 kg/ha, K2O: 99.48 kg/ha. Notes: Standard Application"
88.51324914308172,51.11503565393509,111.2351148459638,18.89921247671408,54.82445174235144,5.409428085519081,ginger,98.94741227687234,59.68785999806117,53.84219244345586,105.95009104121426,68.37582222751769,228.5106814,Standard Application,"N: 105.95 kg/ha, P2O5: 68.38 kg/ha, K2O: 228.51 kg/ha. Notes: Standard Application"
55,35,30,25,60.41,6.5,soybean,25,50,25,25,60,40,Standard Application,"N: 25.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
14,121,203,9.724457611,83.74765639,6.158689406,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
34.82728405202372,46.29373109959729,23.64953762002313,29.67259754474861,61.55352132531784,7.693766474435808,wheat,118.41252231698584,58.51624474510773,36.22683330086581,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
29.31948503224761,51.22860464,6.844308961061964,30.20916253411231,58.82260594575675,6.559755296994969,gram,21.27348007839498,42.10784083665862,15.885671556458554,20,54.54867573124152,65.21179139346832,Standard Application,"N: 0.00 kg/ha, P2O5: 54.55 kg/ha, K2O: 65.21 kg/ha. Notes: Standard Application"
148,69.557,73,24.807,48.78,6.12,mango,109.325,40,58.885,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
72.53143169,22.12906972,0,22.28220061712448,68.61855511,6.227817175879657,masoor,10.74362979654809,32.97803053763175,36.437277373438334,24.92255411405112,54.99507166959384,10,Standard Application,"N: 24.92 kg/ha, P2O5: 55.00 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
133.06919482472512,25.17895205246477,12.183352979687625,23.63082321610974,77.33133888307808,7.066707432177847,kidneybeans,132.7135712024974,38.18718541965334,62.14175436863092,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
12.880235302863296,20.059660459327567,8.299042996948476,12.059745302826157,95.89868901057577,6.332152833071742,orange,134.95220990284142,58.62442434376682,66.57370559712068,262.8426577078387,150,221.09451386071044,Standard Application,"N: 262.84 kg/ha, P2O5: 158.56 kg/ha, K2O: 221.09 kg/ha. Notes: Standard Application"
30,10,15,25,60.41,6,moong,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
55,35,25,25,60.41,6.5,soybean,25,50,25,25,60,40,Standard Application,"N: 25.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
69.58356386397377,50.65628216642251,48.294846760540615,22.83593300628754,92.61079434072565,6.541983769145333,papaya,101.95156916362151,59.56866694973988,58.84072122750956,251.4883373057728,150,300,Standard Application,"N: 251.49 kg/ha, P2O5: 252.40 kg/ha, K2O: 491.76 kg/ha. Notes: Standard Application"
150,9,114,22.808,69.107,6.95,coffee,60.282,60.334,76.311,80,40,80,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
138,77.754,198,27.788,77.461,6.981,coconut,135.237,61.06,21.657,300,150,300,Standard Application,"N: 500.00 kg/ha, P2O5: 320.00 kg/ha, K2O: 1200.00 kg/ha. Notes: Standard Application"
179,59,88,28.76,60.41,6.3,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
33.35372893657303,16.051683630597726,24.282756180656765,20.295190130178767,64.35323766559215,6.489059593,masoor,22.168445190769788,36.10714156429646,21.27015091592183,49.46266942144528,77.64043411446639,81.31176171795765,Standard Application,"N: 49.46 kg/ha, P2O5: 77.64 kg/ha, K2O: 81.31 kg/ha. Notes: Standard Application"
206.3902326075778,80.04663676,256.44847000266407,29.760998225650344,59.00134602349324,7.146685914316254,ragi,82.21264301077902,39.78901170841655,35.50687574879486,85.03189039,34.08189625336028,82.65384058727486,Standard Application,"N: 85.03 kg/ha, P2O5: 34.08 kg/ha, K2O: 82.65 kg/ha. Notes: Standard Application"
107.06631603853788,68.16868041064309,20.36372266617192,38.44306586774267,96.67863949937782,6.898730768714515,papaya,89.46532371828718,61.46421202911469,45.92514634940856,300,150,300,Standard Application,"N: 306.31 kg/ha, P2O5: 261.01 kg/ha, K2O: 524.12 kg/ha. Notes: Standard Application"
187.0835618370928,47.78277012134971,0,19.991169147753475,86.60505370538124,6.628234490767319,orange,114.31398269540108,65.19980002,42.005898375768695,299.3008813816401,104.04095738274364,293.6289340916544,Standard Application,"N: 299.30 kg/ha, P2O5: 104.04 kg/ha, K2O: 293.63 kg/ha. Notes: Standard Application"
20,122,204,11.7976469,80.86325389,6.487369687,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
14.730212410888305,33.98435580233863,29.837200574470728,27.12340652690752,63.30021741,5.987509157842903,urad,6.812647811413591,31.927133835476194,10.255742915079484,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
9,38,25,34.58561471,50.34035336,5.497946899,mango,120,60,60,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
50.56948637104257,16.934164119803878,0,33.01981949319648,91.01217560548116,7.166480492228483,orange,140.8641518871708,62.702524180274494,54.83809350372643,294.20902121169473,138.60974701657352,269.7331653159223,Standard Application,"N: 294.21 kg/ha, P2O5: 138.61 kg/ha, K2O: 269.73 kg/ha. Notes: Standard Application"
17,77,23,24.51324787,20.81527638,5.670062975,kidneybeans,25,40,25,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
135,45,70,30,60.41,7,cotton,120,60,60,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
3,28,33,30.33723921,48.88704844,5.755049971,mango,120,60,60,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
28.17761088768203,15.23577881782474,0,24.61330600979929,62.60945283884053,6.369410814403419,moong,23.75121536421748,30.285855739997693,29.390207212031868,37.15725408,17.360894457470234,10,Standard Application,"N: 37.16 kg/ha, P2O5: 17.36 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
125,90,140,25,60.41,7,sugarcane,180,60,120,200,70,120,Standard Application,"N: 200.00 kg/ha, P2O5: 70.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
18.71082540067365,38.820370744689065,30.913543075003428,22.306225336389733,76.82741956644952,6.055084125638843,banana,136.71825612827325,75.21200822363944,66.95356215463107,300,110.73255774801892,300,Standard Application,"N: 372.51 kg/ha, P2O5: 110.73 kg/ha, K2O: 683.21 kg/ha. Notes: Standard Application"
10,60.261,118,34.32,58.643,6.603,tur,180,71.009,53.715,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
173,24,107,28.76,60.41,6.7,mulberry,100,60,60,300,120,120,Standard Application,"N: 300.00 kg/ha, P2O5: 120.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
108.69157257554056,43.712641753071225,5.400905296101734,27.04424085607932,40.666415770883695,5.590307532798189,watermelon,146.9284027327664,60.02103203404848,40.13171956617992,134.9550315816543,60.89907223822417,10,Standard Application,"N: 134.96 kg/ha, P2O5: 60.90 kg/ha, K2O: 6.19 kg/ha. Notes: Standard Application"
123,74.049,1,33.762,47.599,7.283,cotton,130.637,63.976,84.421,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
125.8642429169672,68.57119248685164,39.15052199640944,22.825491521139224,47.81625507592308,6.337856594,gram,55.28807964340749,56.80719309792388,28.515086151582352,20,81.17900589,27.351415409228327,Standard Application,"N: 0.00 kg/ha, P2O5: 81.18 kg/ha, K2O: 27.35 kg/ha. Notes: Standard Application"
7,16,9,18.87957654,92.04304496,7.813916603,orange,120,60,60,300,150,300,Standard Application,"N: 300.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 300.00 kg/ha. Notes: Standard Application"
79.61329854232605,50.36916501720536,99.15761590933316,23.82557972251413,47.49220968559982,5.866134772680077,jute,90.14407304549523,61.86956532827137,70.25997037392058,80.99523860875243,45.471863477166366,15.049977281433623,Standard Application,"N: 81.00 kg/ha, P2O5: 45.47 kg/ha, K2O: 15.05 kg/ha. Notes: Standard Application"
4.344493713718197,67.65719650779215,13.527731310304551,24.418137005174074,17.946097393187394,5.568795326240192,kidneybeans,31.89939983895505,40.53861232121487,22.78732919748892,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
121.7804438153927,4.816667323845401,34.31384555021759,29.974868780637223,97.13858130326688,6.638999332651781,muskmelon,93.93020868171084,60.93240032773579,59.01646678588301,73.12315297299604,49.70142553445413,24.62487426,Standard Application,"N: 73.12 kg/ha, P2O5: 49.70 kg/ha, K2O: 24.62 kg/ha. Notes: Standard Application"
135,60,55,20,60.41,7.5,lettuce,150,75,75,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
41.50472525553061,61.338153775338775,69.85026932,24.657812685162742,56.29436138508788,6.9372041160437465,turmeric,124.2850307235544,63.05951396548482,55.367458379442965,213.95996146482247,64.42334642,188.33924139383748,Standard Application,"N: 213.96 kg/ha, P2O5: 64.42 kg/ha, K2O: 188.34 kg/ha. Notes: Standard Application"
120,50,60,35,60.41,5.5,kangkong,150,60,60,150,60,60,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
50,40,75,35,60.41,5.5,ginger,100,60,60,100,75,125,Standard Application,"N: 100.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 125.00 kg/ha. Notes: Standard Application"
58.16981554289272,66.54933753,29.740344198596205,25.090714936425226,61.05876556369367,5.703176334485993,tur,17.404928729305837,38.17026899358388,21.00354866067708,20,21.787008899070067,75.24485691776536,Standard Application,"N: 5.95 kg/ha, P2O5: 21.79 kg/ha, K2O: 75.24 kg/ha. Notes: Standard Application"
50,20,20,25,60.41,5.5,groundnut,30,60,40,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
64.89100518617747,11.867007603880566,0,20.079252953663865,54.22955934242433,5.5480769299427015,masoor,32.690321791353945,38.19624142880221,18.564798375220068,20,56.66157847897904,10.72849903637458,Standard Application,"N: 16.64 kg/ha, P2O5: 56.66 kg/ha, K2O: 10.73 kg/ha. Notes: Standard Application"
48.412968891316346,20.808952953482947,25.83702267292392,20.006649893163388,60.82772092,6.031985113013322,masoor,21.50646138,40.18015982833485,19.966995033200664,23.39359788,63.75851354135672,41.805746696600735,Standard Application,"N: 23.39 kg/ha, P2O5: 63.76 kg/ha, K2O: 41.81 kg/ha. Notes: Standard Application"
31.670114418719976,21.164602729405136,51.09688364475265,26.14885395084796,54.532210253708406,6.376020291632631,masoor,38.83616396131504,43.91251469350426,15.650687289072874,44.33464902451896,37.58000806442756,10,Standard Application,"N: 44.33 kg/ha, P2O5: 37.58 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
5.884506726233581,45.427402317701656,15.40734886941743,26.08530970330965,80.63692783425984,6.429860148822645,gram,72.61395547304905,66.51888417193464,119.81219178094288,20,44.76385566020778,17.29493637002105,Standard Application,"N: 0.00 kg/ha, P2O5: 44.76 kg/ha, K2O: 17.29 kg/ha. Notes: Standard Application"
50,45,75,35,60.41,6.5,ginger,100,60,60,100,75,125,Standard Application,"N: 100.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 125.00 kg/ha. Notes: Standard Application"
0,26.35928665889486,85.67123088931055,24.199362707423017,55.379298009798525,7.997052497495909,grapes,158.96410301589967,67.47085942569703,57.71153824768933,41.72959819064114,34.793285858612585,77.02819912114826,Standard Application,"N: 41.73 kg/ha, P2O5: 34.79 kg/ha, K2O: 77.03 kg/ha. Notes: Standard Application"
35.970370207242105,42.75698918988351,26.32222277017277,25.60845198261806,64.77783900660557,7.868690568585697,groundnut,33.228141930629114,61.00338195115544,53.34218040310974,37.449369540535336,55.20350033092371,10,Standard Application,"N: 37.45 kg/ha, P2O5: 55.20 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
37.45602194288949,68.79865386805218,205.8537148631242,27.83215478603969,49.42601377457252,6.246875439302675,mothbeans,93.14397806,61.10021752741981,80.15584689860376,20,40.01524469932598,60.748959865544464,Standard Application,"N: 19.94 kg/ha, P2O5: 40.02 kg/ha, K2O: 60.75 kg/ha. Notes: Standard Application"
54.68794718339414,35.50735475955757,72.68283446501503,25.280239625252868,58.13602043655344,6.441153830632407,masoor,20.46170268078373,37.29569871063966,25.90539096828784,20,75.69505107917337,127.56134019535364,Standard Application,"N: 13.70 kg/ha, P2O5: 75.70 kg/ha, K2O: 127.56 kg/ha. Notes: Standard Application"
17.381279450430238,28.93650585301767,20.963436697164227,13.023608195315775,57.78900124949695,6.089183368789009,gram,1.4026717758054374,43.74933688822615,17.080568937677054,26.358662546428263,50.288911781261206,142.78997240586264,Standard Application,"N: 26.36 kg/ha, P2O5: 50.29 kg/ha, K2O: 142.79 kg/ha. Notes: Standard Application"
62.268944666656985,39.21514702806671,0,17.441643550239142,63.54565393648809,5.273003455050524,turmeric,112.20813526998856,62.28784976773763,59.85372350180601,99.48008027881386,77.62397655053175,189.3568841288776,Standard Application,"N: 99.48 kg/ha, P2O5: 77.62 kg/ha, K2O: 189.36 kg/ha. Notes: Standard Application"
135.36755450461024,34.99185492029868,4.9889495694902966,25.745041539245257,63.81438335105881,6.366740228,muskmelon,92.22314213244567,61.78357601536771,80.24798236495585,82.33285713471928,47.81227279,10,Standard Application,"N: 82.33 kg/ha, P2O5: 47.81 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
150,74.657,136,24.671,71.736,7.248,grapes,147.275,47.526,82.359,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
17,35.8,1,27.486,67.921,6.149,pomegranate,97.218,65.084,74.112,250,125,250,Standard Application,"N: 250.00 kg/ha, P2O5: 125.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
8,44.147,1,33.662,60.58,6.686,tur,43.29,70.816,43.443,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
145,50,70,30,60.41,6,cotton,120,60,60,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
30,50,20,35,60.41,7,gram,20,40,20,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
60.35888753857869,15.091800304788498,0,20.990878554801554,70.36250334310695,5.750215389762929,masoor,26.92446788188647,39.80870623405245,19.56872600342005,43.345243997770176,67.97323092976305,128.51321029269386,Standard Application,"N: 43.35 kg/ha, P2O5: 67.97 kg/ha, K2O: 128.51 kg/ha. Notes: Standard Application"
33.92870525819065,56.307893319653125,35.33251390962607,34.853848306100524,61.408113623735886,7.0217037942571245,tur,18.50058923197848,39.62854892046635,21.21998739253597,20,37.65999051412358,10.905268940267966,Standard Application,"N: 14.38 kg/ha, P2O5: 37.66 kg/ha, K2O: 10.91 kg/ha. Notes: Standard Application"
50,25,25,25,60.41,6.5,masoor,20,40,20,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
92.23009179296383,42.58513311579241,38.68273125395922,23.64171324071572,71.85891250230686,6.098338469298048,jute,100.9484426262259,59.233448307837634,60.16863108000805,92.37181298,40.42346155943258,16.044749064461143,Standard Application,"N: 92.37 kg/ha, P2O5: 40.42 kg/ha, K2O: 16.04 kg/ha. Notes: Standard Application"
28.56894969987392,22.156222791869105,39.772053255279786,24.58673032349004,56.52030226,6.197823448734674,masoor,24.78847376295416,41.67420972684767,17.524034966438823,20,52.25422821233019,85.79230238695298,Standard Application,"N: 11.84 kg/ha, P2O5: 52.25 kg/ha, K2O: 85.79 kg/ha. Notes: Standard Application"
108,26,52,28.82629037,94.26765349,6.201797639,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
45.20842497683511,18.84568747495136,52.40064961602192,31.712819973193525,91.57036452,6.423596812811568,orange,113.16857908276702,67.74189626767347,59.91451577201971,291.27149190700163,138.28832705758686,300,Standard Application,"N: 291.27 kg/ha, P2O5: 138.29 kg/ha, K2O: 359.71 kg/ha. Notes: Standard Application"
9,60,21,29.94413861,67.31323084,7.52178027,lentil,114.26962312269764,57.27897421365826,62.18192122414282,30,60,30,Standard Application,"N: 30.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 30.00 kg/ha. Notes: Standard Application"
59.50437578172164,21.499891464065264,39.68609728703915,25.85474784806972,58.84319396569216,6.647906225104003,urad,6.824932555,32.03872740703718,20.625149936474777,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
90,60,135,20,60.41,6,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
70.89829948093065,51.27575989779712,39.51877363519223,29.16275118,60.87081023684339,6.501182762451121,turmeric,113.4414634885109,60.56964764639388,63.84105036165842,141.12163565249926,60.69766664359162,88.09133603980607,Standard Application,"N: 141.12 kg/ha, P2O5: 60.70 kg/ha, K2O: 88.09 kg/ha. Notes: Standard Application"
23,63.148,122,34.695,69.9,6.485,coconut,119.299,46.421,74.448,300,150,300,Standard Application,"N: 500.00 kg/ha, P2O5: 320.00 kg/ha, K2O: 1200.00 kg/ha. Notes: Standard Application"
44.93899749743766,26.43060299539344,41.18495451775385,22.37058939348052,69.92237802397584,6.572700211283055,masoor,30.53425577,42.30833540112179,15.371567513494838,20,49.94945839298791,107.71055644533293,Standard Application,"N: 18.86 kg/ha, P2O5: 49.95 kg/ha, K2O: 107.71 kg/ha. Notes: Standard Application"
50,25,25,30,60.41,6.5,jowar,80,40,40,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
106,46,20,23.43821725,78.63388824,6.200671976,cotton,120,60,60,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
34,15,34,27.05826457,91.10510371,5.677282678,coconut,120,60,60,300,150,300,Standard Application,"N: 500.00 kg/ha, P2O5: 320.00 kg/ha, K2O: 1200.00 kg/ha. Notes: Standard Application"
106.79763255162696,15.662872563801622,99.51089616693454,28.75577732641433,58.40140201291217,5.876824670832199,spinach,117.39107665809571,60.36540287815911,56.29613996357767,140,60,60,Side-dressing (Heavy feeder),"N: 140.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Heavy feeder)"
88.81045943289533,32.703737700580454,50.64375521080866,33.02655881528097,62.82524538754605,7.300027239944784,moong,11.182809558639889,34.15131621610023,18.91082868712856,20,37.97071133370726,11.311008972824208,Standard Application,"N: 17.85 kg/ha, P2O5: 37.97 kg/ha, K2O: 11.31 kg/ha. Notes: Standard Application"
139.4670438968495,6.753356036793257,0,24.96745780760211,52.16735353316248,6.146006943326931,watermelon,173.46560575340445,54.24751658621671,40.61524005534594,100.90528482796044,67.00633810169649,10,Standard Application,"N: 100.91 kg/ha, P2O5: 67.01 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
